,GAME,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS,TEAM
45,12/31,39,85,45.9,12,19,63.2,13,38,34.2,103,Cleveland Cavaliers
46,12/29,50,96,52.1,14,20,70.0,12,28,42.9,126,Cleveland Cavaliers
47,12/26,39,82,47.6,26,30,86.7,13,36,36.1,117,Cleveland Cavaliers
48,12/23,39,76,51.3,18,30,60.0,11,33,33.3,107,Cleveland Cavaliers
49,12/21,41,85,48.2,22,28,78.6,10,32,31.3,114,Cleveland Cavaliers
50,12/19,43,70,61.4,21,26,80.8,15,26,57.7,122,Cleveland Cavaliers
51,12/17,40,94,42.6,13,22,59.1,7,36,19.4,100,Cleveland Cavaliers
52,12/16,38,76,50.0,28,32,87.5,14,31,45.2,118,Cleveland Cavaliers
53,12/14,41,78,52.6,15,19,78.9,8,24,33.3,105,Cleveland Cavaliers
54,12/12,45,92,48.9,16,17,94.1,5,23,21.7,111,Cleveland Cavaliers
55,12/10,40,85,47.1,18,26,69.2,12,32,37.5,110,Cleveland Cavaliers
56,12/9,34,79,43.0,17,22,77.3,10,30,33.3,95,Cleveland Cavaliers
57,12/6,48,93,51.6,13,17,76.5,7,27,25.9,116,Cleveland Cavaliers
58,12/4,29,83,34.9,15,20,75.0,8,35,22.9,81,Cleveland Cavaliers
59,12/2,41,84,48.8,9,9,100.0,16,42,38.1,107,Cleveland Cavaliers
60,11/30,45,74,60.8,8,10,80.0,15,29,51.7,113,Cleveland Cavaliers
61,11/28,34,90,37.8,13,16,81.3,7,38,18.4,88,Cleveland Cavaliers
62,11/27,33,77,42.9,28,33,84.8,8,28,28.6,102,Cleveland Cavaliers
63,11/25,34,87,39.1,22,26,84.6,12,33,36.4,102,Cleveland Cavaliers
64,11/23,41,74,55.4,20,23,87.0,12,27,44.4,114,Cleveland Cavaliers
65,11/21,42,70,60.0,20,23,87.0,10,19,52.6,114,Cleveland Cavaliers
66,11/20,44,83,53.0,12,16,75.0,13,37,35.1,113,Cleveland Cavaliers
67,11/18,49,92,53.3,26,32,81.3,8,28,28.6,132,Cleveland Cavaliers
68,11/16,36,84,42.9,14,17,82.4,12,28,42.9,98,Cleveland Cavaliers
69,11/13,40,89,44.9,27,39,69.2,17,34,50.0,124,Cleveland Cavaliers
70,11/11,37,92,40.2,19,26,73.1,8,30,26.7,101,Cleveland Cavaliers
71,11/9,46,86,53.5,17,20,85.0,11,26,42.3,120,Cleveland Cavaliers
72,11/7,43,83,51.8,15,21,71.4,16,33,48.5,117,Cleveland Cavaliers
73,11/6,37,84,44.0,32,36,88.9,8,32,25.0,114,Cleveland Cavaliers
